[F2](==,||);BATT
01:03:27;3237;7825,71
01:03:47;3237;7825,71
01:04:07;3237;7825,71
01:04:27;3237;7825,71
01:04:47;3236;7823,30
01:05:07;3238;7828,13
01:05:27;3239;7830,55
01:05:47;3236;7823,30
01:06:07;3236;7823,30
01:06:28;3237;7825,71
01:06:48;3237;7825,71
01:07:08;3238;7828,13
01:07:28;3237;7825,71
01:07:48;3239;7830,55
01:08:08;3237;7825,71
01:08:28;3236;7823,30
01:08:48;3237;7825,71
01:09:08;3235;7820,88
01:09:28;3238;7828,13
01:09:48;3238;7828,13
01:10:08;3238;7828,13
01:10:28;3237;7825,71
01:10:48;3235;7820,88
01:11:08;3236;7823,30
01:11:28;3237;7825,71
01:11:48;3238;7828,13
01:12:08;3235;7820,88
01:12:28;3237;7825,71
01:12:48;3236;7823,30
01:13:08;3237;7825,71
01:13:28;3235;7820,88
01:13:48;3238;7828,13
01:14:08;3237;7825,71
01:14:28;3235;7820,88
01:14:48;3237;7825,71
01:15:08;3234;7818,46
01:15:28;3234;7818,46
01:15:48;3234;7818,46
01:16:08;3233;7816,04
01:16:28;3232;7813,63
01:16:48;3235;7820,88
01:17:08;3235;7820,88
01:17:28;3235;7820,88
01:17:49;3234;7818,46
01:18:09;3233;7816,04
01:18:29;3234;7818,46
01:18:49;3233;7816,04
01:19:09;3237;7825,71
01:19:29;3234;7818,46
01:19:49;3235;7820,88
01:20:09;3234;7818,46
01:20:29;3233;7816,04
01:20:49;3237;7825,71
01:21:09;3234;7818,46
01:21:29;3233;7816,04
01:21:49;3232;7813,63
01:22:09;3231;7811,21
01:22:29;3232;7813,63
01:22:49;3232;7813,63
01:23:09;3232;7813,63
01:23:29;3233;7816,04
01:23:49;3232;7813,63
01:24:09;3233;7816,04
01:24:29;3233;7816,04
01:24:49;3233;7816,04
01:25:09;3230;7808,79
01:25:29;3231;7811,21
01:25:49;3231;7811,21
01:26:09;3234;7818,46
01:26:29;3231;7811,21
01:26:49;3229;7806,37
01:27:09;3230;7808,79
01:27:29;3232;7813,63
01:27:49;3230;7808,79
01:28:09;3228;7803,96
01:28:29;3233;7816,04
01:28:49;3232;7813,63
01:29:09;3230;7808,79
01:29:29;3233;7816,04
01:29:49;3230;7808,79
01:30:09;3227;7801,54
01:30:29;3230;7808,79
01:30:49;3230;7808,79
01:31:09;3230;7808,79
01:31:29;3231;7811,21
01:31:49;3229;7806,37
01:32:09;3229;7806,37
01:32:29;3229;7806,37
01:32:49;3228;7803,96
01:33:09;3230;7808,79
01:33:29;3230;7808,79
01:33:49;3229;7806,37
01:34:09;3231;7811,21
01:34:29;3228;7803,96
01:34:49;3230;7808,79
01:35:09;3230;7808,79
01:35:29;3229;7806,37
01:35:49;3229;7806,37
01:36:09;3228;7803,96
01:36:29;3227;7801,54
01:36:49;3230;7808,79
01:37:09;3229;7806,37
01:37:29;3228;7803,96
01:37:49;3229;7806,37
01:38:09;3230;7808,79
01:38:29;3230;7808,79
01:38:49;3229;7806,37
01:39:09;3228;7803,96
01:39:29;3229;7806,37
01:39:49;3231;7811,21
01:40:09;3228;7803,96
01:40:29;3230;7808,79
01:40:49;3228;7803,96
01:41:09;3228;7803,96
01:41:29;3229;7806,37
01:41:49;3227;7801,54
01:42:09;3229;7806,37
01:42:29;3228;7803,96
01:42:49;3227;7801,54
01:43:09;3229;7806,37
01:43:29;3227;7801,54
01:43:49;3227;7801,54
01:44:09;3228;7803,96
01:44:29;3229;7806,37
01:44:49;3227;7801,54
01:45:09;3227;7801,54
01:45:29;3227;7801,54
01:45:49;3228;7803,96
01:46:09;3228;7803,96
01:46:29;3228;7803,96
01:46:49;3227;7801,54
01:47:09;3227;7801,54
01:47:29;3226;7799,12
01:47:49;3225;7796,70
01:48:09;3225;7796,70
01:48:29;3225;7796,70
01:48:49;3226;7799,12
01:49:09;3227;7801,54
01:49:29;3225;7796,70
01:49:49;3227;7801,54
01:50:09;3226;7799,12
01:50:29;3227;7801,54
01:50:49;3227;7801,54
01:51:09;3225;7796,70
01:51:29;3226;7799,12
01:51:49;3226;7799,12
01:52:09;3226;7799,12
01:52:29;3225;7796,70
01:52:49;3226;7799,12
01:53:09;3227;7801,54
01:53:29;3226;7799,12
01:53:49;3226;7799,12
01:54:09;3225;7796,70
01:54:29;3226;7799,12
01:54:49;3225;7796,70
01:55:09;3227;7801,54
01:55:29;3226;7799,12
01:55:49;3225;7796,70
01:56:09;3225;7796,70
01:56:29;3226;7799,12
01:56:49;3224;7794,29
01:57:09;3225;7796,70
01:57:29;3226;7799,12
01:57:49;3226;7799,12
01:58:09;3226;7799,12
01:58:29;3224;7794,29
01:58:49;3226;7799,12
01:59:09;3226;7799,12
01:59:29;3225;7796,70
01:59:49;3222;7789,45
02:00:10;3224;7794,29
02:00:30;3225;7796,70
02:00:50;3225;7796,70
02:01:10;3226;7799,12
02:01:30;3225;7796,70
02:01:50;3225;7796,70
02:02:10;3225;7796,70
02:02:30;3224;7794,29
02:02:49;3225;7796,70
02:03:09;3224;7794,29
02:03:29;3225;7796,70
02:03:49;3225;7796,70
02:04:09;3225;7796,70
02:04:29;3225;7796,70
02:04:49;3224;7794,29
02:05:09;3226;7799,12
02:05:29;3224;7794,29
02:05:49;3225;7796,70
02:06:09;3223;7791,87
02:06:30;3224;7794,29
02:06:50;3224;7794,29
02:07:10;3222;7789,45
02:07:30;3226;7799,12
02:07:50;3224;7794,29
